CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
8592374,2,1,2,M,26,0,6,M,G,0,"SAN DIEGO","SAN DIEGO",2018
8594589,1,1,4,M,33,2,1,-,V,1,"SAN DIEGO","SAN DIEGO",2018
8598029,2,1,4,M,76,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2018
8603754,1,1,4,M,31,3,0,P,V,1,"SAN DIEGO","SAN DIEGO",2018
8616146,2,1,4,-,31,7,9,-,-,3,"SAN DIEGO","SAN DIEGO",2018
8618410,1,1,4,M,62,6,1,P,V,3,"SAN DIEGO","SAN DIEGO",2018
8626114,2,1,4,-,54,6,1,P,V,2,"SAN DIEGO","SAN DIEGO",2018
8628712,2,1,4,M,65,6,1,P,V,1,"SAN DIEGO","SAN DIEGO",2018
8629651,2,1,4,M,37,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2018
8636525,1,1,4,M,30,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2018
8659933,2,1,4,M,28,3,9,P,W,0,"SAN DIEGO","SAN DIEGO",2018
8664762,1,1,4,M,35,6,1,-,P,3,"SAN DIEGO","SAN DIEGO",2018
8666455,1,1,4,M,60,3,1,V,-,0,"SAN DIEGO","SAN DIEGO",2018
8671967,1,1,4,M,62,2,1,P,-,1,"SAN DIEGO","SAN DIEGO",2018
8672272,2,1,4,M,62,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2018
8672296,1,1,4,M,21,4,9,-,-,1,"SAN DIEGO","SAN DIEGO",2018
8688606,1,1,4,M,23,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2018
8689699,1,1,4,M,19,6,1,-,-,0,"SAN DIEGO","SAN DIEGO",2018
8699316,1,1,4,M,43,6,9,-,-,3,"SAN DIEGO","SAN DIEGO",2018
8707802,1,1,4,F,59,3,1,P,V,0,"SAN DIEGO","SAN DIEGO",2018
8710307,1,1,4,M,54,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2018
8713700,1,1,4,M,37,2,1,P,V,1,"SAN DIEGO","SAN DIEGO",2018
8726678,1,1,4,-,61,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2018
8726690,1,1,4,M,67,3,1,P,W,2,"SAN DIEGO","SAN DIEGO",2018
8741995,1,1,4,F,18,5,9,V,-,1,"SAN DIEGO","SAN DIEGO",2018
8751438,2,1,4,M,51,3,1,P,V,2,"SAN DIEGO","SAN DIEGO",2018
8752091,1,1,4,M,60,3,9,Q,W,1,"SAN DIEGO","SAN DIEGO",2018
8756546,2,1,4,M,37,6,9,-,-,3,"SAN DIEGO","SAN DIEGO",2018
8769673,1,1,1,M,56,4,1,P,W,0,"SAN DIEGO","SAN DIEGO",2018
8769673,2,1,4,F,36,4,1,P,V,0,"SAN DIEGO","SAN DIEGO",2018
8769764,1,1,4,M,45,4,1,P,V,1,"SAN DIEGO","SAN DIEGO",2018
8778237,2,1,4,M,67,6,0,P,A,0,"SAN DIEGO","SAN DIEGO",2019
8783769,1,1,4,M,38,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2019
8789532,1,1,4,M,55,6,0,P,V,0,"SAN DIEGO","SAN DIEGO",2019
8802787,1,1,4,M,30,4,9,-,-,0,"SAN DIEGO","SAN DIEGO",2019
8805478,1,1,4,M,60,4,0,P,-,1,"SAN DIEGO","SAN DIEGO",2019
8807066,1,1,4,M,998,3,1,P,V,0,"SAN DIEGO","SAN DIEGO",2019
8807066,2,1,2,M,17,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2019
8807066,2,2,2,M,18,0,5,M,G,0,"SAN DIEGO","SAN DIEGO",2019
8807083,1,1,4,F,37,3,1,-,P,0,"SAN DIEGO","SAN DIEGO",2019
8808148,1,1,4,M,72,1,9,-,-,0,"SAN DIEGO","SAN DIEGO",2019
8815671,1,1,4,M,26,3,1,P,-,0,"SAN DIEGO","SAN DIEGO",2019
8820331,2,1,4,M,15,3,0,P,-,0,"SAN DIEGO","SAN DIEGO",2019
8829071,1,1,4,M,62,6,1,P,V,0,"SAN DIEGO","SAN DIEGO",2019
8834852,2,1,4,-,66,4,1,P,W,0,"SAN DIEGO","SAN DIEGO",2019
8835603,1,1,4,-,998,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2019
8843813,1,1,4,-,63,3,1,M,P,0,"SAN DIEGO","SAN DIEGO",2019
8845911,2,1,4,M,28,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2019
8853059,1,1,4,M,37,3,9,P,V,0,"SAN DIEGO","SAN DIEGO",2019
8869230,1,1,4,-,21,6,1,P,V,0,"SAN DIEGO","SAN DIEGO",2019
8871919,2,1,4,M,35,3,1,P,W,2,"SAN DIEGO","SAN DIEGO",2019
8876211,1,1,4,F,62,3,1,P,A,1,"SAN DIEGO","SAN DIEGO",2019
8905462,1,1,4,F,28,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2019
8916555,2,1,4,M,31,4,1,P,W,1,"SAN DIEGO","SAN DIEGO",2019
8926562,1,1,4,M,12,3,1,P,W,2,"SAN DIEGO","SAN DIEGO",2019
8932954,1,1,4,F,65,3,0,P,W,0,"SAN DIEGO","SAN DIEGO",2019
8937088,2,1,4,F,47,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2019
8944654,1,1,4,M,58,3,1,P,V,0,"SAN DIEGO","SAN DIEGO",2019
8948068,1,1,4,M,48,3,1,P,V,0,"SAN DIEGO","SAN DIEGO",2019
8968173,1,1,4,M,41,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2019
8978251,2,1,4,F,54,3,1,-,W,1,"SAN DIEGO","SAN DIEGO",2019
8986329,1,1,4,M,56,4,1,P,V,0,"SAN DIEGO","SAN DIEGO",2019
8987537,2,1,4,M,38,4,1,P,V,3,"SAN DIEGO","SAN DIEGO",2019
8992183,1,1,4,F,36,4,1,P,V,1,"SAN DIEGO","SAN DIEGO",2019
8993952,2,1,4,M,30,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2019
9010077,2,1,4,M,52,4,1,P,W,1,"SAN DIEGO","SAN DIEGO",2019
9010601,1,1,4,M,57,2,1,P,V,1,"SAN DIEGO","SAN DIEGO",2019
9036488,2,1,4,M,64,4,9,P,Y,0,"SAN DIEGO","SAN DIEGO",2020
9038499,2,1,4,M,24,4,1,P,W,1,"SAN DIEGO","SAN DIEGO",2020
9040276,2,1,4,M,54,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2020
9054576,2,1,4,M,61,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2020
9059457,1,1,4,M,16,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2020
9069215,1,1,4,M,77,3,0,P,W,1,"SAN DIEGO","SAN DIEGO",2020
9070083,1,1,4,M,63,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2020
9073480,2,1,4,M,32,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2020
9075202,1,1,4,F,50,3,1,-,-,-,"SAN DIEGO","SAN DIEGO",2020
9075222,1,1,4,M,62,4,1,P,V,3,"SAN DIEGO","SAN DIEGO",2020
9075242,1,1,4,F,29,3,1,P,V,2,"SAN DIEGO","SAN DIEGO",2020
9099786,1,1,4,F,82,3,-,-,-,-,"SAN DIEGO","SAN DIEGO",2020
9100414,1,1,4,M,19,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2020
9101583,1,1,4,M,40,4,-,-,-,-,"SAN DIEGO","SAN DIEGO",2020
9104883,1,1,4,M,11,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2020
9104898,2,1,4,M,28,3,0,P,V,1,"SAN DIEGO","SAN DIEGO",2020
9106221,1,1,4,M,70,3,0,P,V,1,"SAN DIEGO","SAN DIEGO",2020
9118596,2,1,4,M,55,2,-,-,-,-,"SAN DIEGO","SAN DIEGO",2020
9119216,1,1,4,M,26,3,0,P,V,0,"SAN DIEGO","SAN DIEGO",2020
9119988,1,1,4,M,66,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2020
9119988,3,1,4,M,63,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2020
9120206,1,1,4,F,26,2,1,P,W,3,"SAN DIEGO","SAN DIEGO",2020
9127331,2,1,4,M,68,3,-,-,-,-,"SAN DIEGO","SAN DIEGO",2020
9128912,1,1,4,M,26,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2020
91333850,1,1,4,F,56,5,1,-,W,1,"SAN DIEGO","SAN DIEGO",2020
9133724,1,1,4,M,58,3,9,P,V,-,"SAN DIEGO","SAN DIEGO",2020
9134933,1,1,4,M,48,4,-,P,-,-,"SAN DIEGO","SAN DIEGO",2020
9134933,2,1,2,F,82,0,2,M,G,0,"SAN DIEGO","SAN DIEGO",2020
9137722,1,1,4,F,40,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2020
9160084,2,1,4,M,15,3,1,P,A,0,"SAN DIEGO","SAN DIEGO",2020
9170189,1,1,4,F,30,4,1,M,W,1,"SAN DIEGO","SAN DIEGO",2020
